id, name, gender, size, category
0,Human 2,m,l,base
1,Human 3,m,l,base
2,Human 4,m,l,base
3,Zombie,m,l,base
4,Ape,m,l,base
5,Alien,m,l,base
6,Human Female 1,f,s,base
7,Human Female 2,f,s,base
8,Human Female 3,f,s,base
9,Human Female 4,f,s,base
10,Eyebrows,u,l,eyes
11,3D Glasses,u,l,eyes
12,Big Shades,u,l,eyes
13,Classic Shades,u,l,eyes
14,Eye Mask,u,l,eyes
15,Eye Patch,u,l,eyes
16,Horned Rim Glasses,u,l,eyes
17,Nerd Glasses,u,l,eyes
18,Regular Shades,u,l,eyes
19,Small Shades,u,l,eyes
20,VR,u,l,eyes
21,Clown Eyes Blue,u,l,eyes
22,Clown Eyes Green,u,l,eyes
23,3D Glasses,f,s,eyes
24,Big Shades,f,s,eyes
25,Classic Shades,f,s,eyes
26,Eye Mask,f,s,eyes
27,Eye Patch,f,s,eyes
28,Horned Rim Glasses,f,s,eyes
29,Nerd Glasses,f,s,eyes
30,Regular Shades,f,s,eyes
31,Small Shades,f,s,eyes
32,VR,f,s,eyes
33,Welding Goggles,f,s,eyes
34,Blue Eye Shadow,f,s,eyes
35,Green Eye Shadow,f,s,eyes
36,Clown Eyes Blue,f,s,eyes
37,Clown Eyes Green,f,s,eyes
38,Mole,m,l,cheeks
39,Rosy Cheeks,m,l,cheeks
40,Spots,m,l,cheeks
41,Clown Nose,u,l,cheeks
42,Mole,f,s,cheeks
43,Rosy Cheeks,f,s,cheeks
44,Spots,f,s,cheeks
45,Clown Nose,f,s,cheeks
46,Earring,u,l,ears
47,Earring,f,s,ears
48,Buck Teeth,m,l,mouth
49,Frown,m,l,mouth
50,Smile,m,l,mouth
51,Gold Chain,m,l,neck
52,Silver Chain,m,l,neck
53,Big Beard,m,l,beard
54,Chinstrap,m,l,beard
55,Front Beard,m,l,beard
56,Front Beard Dark,m,l,beard
57,Goat,m,l,beard
58,Handlebars,m,l,beard
59,Luxurious Beard,m,l,beard
60,Mustache,m,l,beard
61,Muttonchops,m,l,beard
62,Normal Beard,m,l,beard
63,Normal Beard Black,m,l,beard
64,Shadow Beard,m,l,beard
65,Bandana,m,l,headAccessory
66,Beanie,m,l,headAccessory
67,Cowboy Hat,m,l,headAccessory
68,Do-rag,m,l,headAccessory
69,Fedora,m,l,headAccessory
70,Hoodie,m,l,headAccessory
71,Police Cap,m,l,headAccessory
72,Top Hat,m,l,headAccessory
73,Crazy Hair,m,l,headAccessory
74,Frumpy Hair,m,l,headAccessory
75,Peak Spike,m,l,headAccessory
76,Purple Hair,m,l,headAccessory
77,Shaved Head,m,l,headAccessory
78,Stringy Hair,m,l,headAccessory
79,Vampire Hair,m,l,headAccessory
80,Wild Hair,m,l,headAccessory
81,Clown Hair Green,m,l,headAccessory
82,Cap Forward,u,l,headAccessory
83,Headband,u,l,headAccessory
84,Knitted Cap,u,l,headAccessory
85,Cap,u,l,headAccessory
86,Messy Hair,u,l,headAccessory
87,Mohawk,u,l,headAccessory
88,Mohawk Dark,u,l,headAccessory
89,Mohawk Thin,u,l,headAccessory
90,Bandana,f,s,headAccessory
91,Beanie,f,s,headAccessory
92,Cap Forward,f,s,headAccessory
93,Cowboy Hat,f,s,headAccessory
94,Do-rag,f,s,headAccessory
95,Fedora,f,s,headAccessory
96,Headband,f,s,headAccessory
97,Hoodie,f,s,headAccessory
98,Knitted Cap,f,s,headAccessory
99,Pilot Helmet,f,s,headAccessory
100,Police Cap,f,s,headAccessory
101,Tassle Hat,f,s,headAccessory
102,Tiara,f,s,headAccessory
103,Top Hat,f,s,headAccessory
104,Cap,f,s,headAccessory
105,Blonde Short,f,s,headAccessory
106,Crazy Hair,f,s,headAccessory
107,Dark Hair,f,s,headAccessory
108,Frumpy Hair,f,s,headAccessory
109,Half Shaved,f,s,headAccessory
110,Messy Hair,f,s,headAccessory
111,Mohawk,f,s,headAccessory
112,Mohawk Dark,f,s,headAccessory
113,Mohawk Thin,f,s,headAccessory
114,Orange Side,f,s,headAccessory
115,Pigtails,f,s,headAccessory
116,Pink With Hat,f,s,headAccessory
117,Purple Hair,f,s,headAccessory
118,Red Mohawk,f,s,headAccessory
119,Shaved Head,f,s,headAccessory
120,Straight Hair,f,s,headAccessory
121,Straight Hair Blonde,f,s,headAccessory
122,Straight Hair Dark,f,s,headAccessory
123,Stringy Hair,f,s,headAccessory
124,Wild Blonde,f,s,headAccessory
125,Wild Hair,f,s,headAccessory
126,Wild White Hair,f,s,headAccessory
127,Blonde Bob,f,s,headAccessory
128,Clown Hair Green,f,s,headAccessory
129,Cigarette,u,l,mouthAccessory
130,Medical Mask,u,l,mouthAccessory
131,Pipe,u,l,mouthAccessory
132,Vape,u,l,mouthAccessory
133,Cigarette,f,s,mouthAccessory
134,Medical Mask,f,s,mouthAccessory
135,Pipe,f,s,mouthAccessory
136,Vape,f,s,mouthAccessory
