id, name, gender, size, type, more_names
5, Human 1, m, l, Archetype - Human, Human Male 1 | Human 1 ♂ | Male 1 | Man 1 | ♂ 1
6, Human 2, m, l, Archetype - Human, Human Male 2 | Human 2 ♂ | Male 2 | Man 2 | ♂ 2
7, Human 3, m, l, Archetype - Human, Human Male 3 | Human 3 ♂ | Male 3 | Man 3 | ♂ 3
8, Human 4, m, l, Archetype - Human, Human Male 4 | Human 4 ♂ | Male 4 | Man 4 | ♂ 4
22, Human Female 1, f, s, Archetype - Human, Human 1 ♀ | Female 1 | Woman 1 | Lady 1 | ♀ 1
23, Human Female 2, f, s, Archetype - Human, Human 2 ♀ | Female 2 | Woman 2 | Lady 2 | ♀ 2
24, Human Female 3, f, s, Archetype - Human, Human 3 ♀ | Female 3 | Woman 3 | Lady 3 | ♀ 3
25, Human Female 4, f, s, Archetype - Human, Human 4 ♀ | Female 4 | Woman 4 | Lady 4 | ♀ 4
30, Zombie, m, l, Archetype - Zombie, Zombie Male | Zombie ♂
34, Ape, m, l, Archetype - Ape, Ape Male | Ape ♂
39, Alien, m, l, Archetype - Alien, Alien Male | Alien ♂
229, Eyebrows, u, l, Attribute, 
230, Eyes, u, l, Attribute, 
231, Mouth, u, l, Attribute, 
232, Nose, u, l, Attribute, 
233, Nose Small, u, l, Attribute, Small Nose
234, Mouth Darker, f, l, Attribute, Mouth 1
235, Mouth Dark, f, l, Attribute, Mouth 2
236, Mouth Light, f, l, Attribute, Mouth 3
237, Smile Darker, f, l, Attribute, Smile 1
238, Smile Dark, f, l, Attribute, Smile 2
239, Smile Light, f, l, Attribute, Smile 3
240, 3D Glasses, u, l, Attribute, 
241, 3D Glasses, f, s, Attribute, 
242, Big Shades, u, l, Attribute, 
243, Big Shades, f, s, Attribute, 
244, Classic Shades, u, l, Attribute, 
245, Classic Shades, f, s, Attribute, 
246, Eye Mask, u, l, Attribute, 
247, Eye Mask, f, s, Attribute, 
248, Eye Patch, u, l, Attribute, 
249, Eye Patch, f, s, Attribute, 
250, Horned Rim Glasses, u, l, Attribute, 
251, Horned Rim Glasses, f, s, Attribute, 
252, Nerd Glasses, u, l, Attribute, 
